number of tangent,rate
0,-inf
10,0.5281919740869131
20,0.5847559074613714
30,0.5911506443454676
40,0.5893584560418722
50,0.5900587384175865
60,0.591168202893883
70,0.590613932085804
80,0.5886637640842521
90,0.58030141001679
100,0.5908971285474637
110,0.5909470371770374
120,0.5911709362672571
130,0.5889450609324322
140,0.5910366377882014
150,0.5911711483994772
160,0.5910586936293559
170,0.5807001836104837
180,0.5911710223648655
190,0.5888738001563812
200,0.5890116811115081
210,0.5911711356051149
220,0.58897737394372
230,0.5889835189885241
240,0.5911708799756562
250,0.5808076815384409
260,0.5808607616168646
270,0.5911707813675308
280,0.5890427469003013
290,0.5808544662179531
300,0.591170781980071
310,0.5808594297487688
320,0.5748672584320401
330,0.5911707232274229
340,0.5808594193409986
350,0.5911547583542677
360,0.5911706095180546
370,0.5911445551454778
380,0.589045345132286
390,0.5911705669641453
400,0.5911476169259472
