number of tangent,rate
0,-inf
2,-0.08999557825316341
4,0.20171359587810894
6,0.4371643360932215
8,0.520579192337476
10,0.5618393411813679
12,0.5855542516496933
14,0.5997082425597373
16,0.6103526867613379
18,0.617180252578068
20,0.6220038663831157
22,0.6254604970398058
24,0.6278906117591385
26,0.6297856108630395
28,0.6311577339899577
30,0.6322098491466328
32,0.6329517971500245
34,0.6334499694348525
36,0.6337568202971839
38,0.6339106631117235
40,0.6339414904532443
42,0.6338727706874392
44,0.6337230587954006
46,0.6335071695406185
48,0.6332370372860117
50,0.6321403371015741
52,0.6325710141696348
54,0.6312921467373676
56,0.6314289449907908
58,0.6319790647547965
60,0.632421335231538
62,0.632791007956981
64,0.6330964849334773
66,0.6333450358285215
68,0.6335429724150334
70,0.6336957964487233
72,0.6338083225476674
74,0.6338847784358514
76,0.6335179130606121
78,0.6339439371338631
80,0.6334525308053709
82,0.6338981966157728
84,0.6327196454981775
86,0.6331869562534
88,0.6325208323629924
90,0.6277990503032927
92,0.6327685758928245
94,0.6327827744671266
96,0.6325967563355385
98,0.6327087056265165
100,0.6334499699011633
102,0.6333000672666051
104,0.6333769254212949
106,0.6334358398987161
108,0.6334781091073971
110,0.6335049244287143
112,0.6339106609719585
114,0.6339333302481409
116,0.6328930717227746
118,0.633478299935387
120,0.6339287101766682
122,0.633905506339336
124,0.6338727700395985
126,0.6327057477265595
128,0.6326451107670561
130,0.6337230581989288
132,0.6327673077712596
134,0.6332422937801383
136,0.6328750827157349
138,0.6336615451872796
140,0.6334157650834462
142,0.6337837313730184
144,0.6338306646561487
146,0.6338688345156425
148,0.6338987024945373
