number of tangent,rate
0,-inf
10,0.5323273171408889
20,0.5851609414366867
30,0.5919581376455689
40,0.5905303259241845
50,0.5906864944507255
60,0.5921985633917108
70,0.5921556423936927
80,0.5914401762224509
90,0.5922185488126221
100,0.5922894922762637
110,0.5916856201449442
120,0.5922278255122413
130,0.591936110256131
140,0.5921253721032763
150,0.5922330544443765
160,0.5923287173771563
170,0.5918576996113792
180,0.5922367323753295
190,0.5923279370733503
200,0.5917613009743333
210,0.5922389768911883
220,0.5923246982300199
230,0.5923043602058559
240,0.5920117549350651
250,0.5920087778956415
260,0.5923177594933643
270,0.5920122362101319
280,0.5920129206747587
290,0.5923247721510202
300,0.5922748323574486
310,0.5923128238736638
320,0.5923278447704083
330,0.5922947756644901
340,0.59201771493835
350,0.5923288416759777
360,0.5923078255117102
370,0.5920187957873737
380,0.5917306319129256
390,0.5923163801146141
400,0.5920196589200696
